Date,6,10,11,12,15,16,18,20,25,29,30,31,33,36,39,40,42,43,48,49,50
2021-01-01 00:00:00,0.000117,0.000243,0.0002,7.5e-05,3.7e-05,0.0007199999999999,5.8e-05,1.6e-05,0.0,0.000222,7.7e-05,0.000162,0.0012,0.0,0.0,3.2e-05,0.0060999999999999,1e-06,2.5e-05,1e-06,4.7e-05
2021-01-01 01:00:00,0.000201,0.000251,0.000179,9.1e-05,8.5e-05,0.000647,4.2e-05,5.6e-05,0.0,0.000354,8.7e-05,0.000127,0.0012,0.0,0.0,3.4e-05,0.0058,2e-06,1.9e-05,1e-06,6.4e-05
2021-01-01 02:00:00,0.0004759999999999,0.000262,0.000103,9.7e-05,4.6e-05,0.000703,0.000106,8.999999999999999e-06,0.0,0.000191,5.9e-05,0.000168,0.0012,0.0,0.0,4.3e-05,0.0057,3e-06,1.9e-05,2e-06,7.199999999999999e-05
2021-01-01 03:00:00,0.000267,0.000255,5.6e-05,7.8e-05,0.000107,0.000594,9.7e-05,1.5e-05,0.0,5.5e-05,7.4e-05,0.000166,0.0012,0.0,0.0,4.9000000000000005e-05,0.0059,3e-06,2.5e-05,3e-05,6e-05
2021-01-01 04:00:00,0.000163,0.000233,5.6e-05,2.7e-05,3.1e-05,0.0005859999999999,0.0001,2e-06,0.0,8.2e-05,2.4e-05,0.000156,0.0012,0.0,0.0,4.9000000000000005e-05,0.006,3e-06,1.2e-05,5.8e-05,4.7e-05
2021-01-01 05:00:00,0.000108,0.000261,6e-05,4.1e-05,0.0001,0.0006,8.400000000000001e-05,2e-06,0.0,8.400000000000001e-05,4.1e-05,0.0,0.0012,0.0,0.0,4.9000000000000005e-05,0.0059,3e-06,2.5e-05,1e-06,5.3e-05
2021-01-01 06:00:00,0.000116,0.000261,6e-05,2.7e-05,4.6e-05,0.000628,0.000116,5e-06,0.0,6.4e-05,8.599999999999999e-05,0.0,0.0011,0.0,0.0,5.3e-05,0.0060999999999999,3e-06,1.3e-05,2e-06,7.099999999999999e-05
2021-01-01 07:00:00,0.0001199999999999,0.000228,5.8e-05,4.6e-05,8.1e-05,0.000626,0.000121,5e-06,0.0,7.8e-05,2.3e-05,0.0,0.0012,0.0,0.0,6.4e-05,0.0059,2e-06,2.5e-05,1e-06,7.3e-05
2021-01-01 08:00:00,0.000136,0.000257,5.6e-05,4.7e-05,7.4e-05,0.00055,5e-05,8.999999999999999e-06,0.0,8.3e-05,1.6e-05,0.0,0.0013,0.0,0.0,5.5e-05,0.0059,0.0,1.2e-05,1e-06,5.4e-05
2021-01-01 09:00:00,0.000215,0.000269,6.1e-05,1.6e-05,5.5e-05,0.000686,4.3e-05,3.5999999999999994e-05,0.0,8.599999999999999e-05,8.3e-05,0.0,0.0013,0.0,1e-06,6.7e-05,0.0062,5e-06,2.6e-05,1e-06,5.4e-05
2021-01-01 10:00:00,0.000331,0.000256,5.8e-05,1.6e-05,7.9e-05,0.000695,3.8e-05,2.7e-05,0.0,9.5e-05,7.000000000000001e-05,0.0,0.0013,0.0,0.0,6.7e-05,0.0063,4e-06,1.5e-05,1.7999999999999997e-05,5.6e-05
2021-01-01 11:00:00,0.000146,0.000245,4.3e-05,4.3e-05,2.7e-05,0.000651,4.1e-05,5.6e-05,0.0,0.000252,5.6e-05,9.9e-05,0.0012,0.0,0.0,6.6e-05,0.0062,3e-06,2.3e-05,7.5e-05,7.7e-05
2021-01-01 12:00:00,0.000303,0.000273,4.4e-05,4.5e-05,6e-05,0.000682,0.000154,9.6e-05,0.0,0.000501,6.500000000000001e-05,0.000194,0.0013,0.0,0.0,6.500000000000001e-05,0.0062,3e-06,2e-05,2e-06,6.8e-05
2021-01-01 13:00:00,0.0004069999999999,0.000265,5.3e-05,2.2e-05,1.9e-05,0.000658,0.0001189999999999,1.7999999999999997e-05,0.0,0.000518,8.1e-05,0.000199,0.0013,0.0,0.0,6.7e-05,0.0062,4e-06,1.7999999999999997e-05,1e-06,5.2e-05
2021-01-01 14:00:00,0.000157,0.000232,0.000138,0.0,6.8e-05,0.000655,9.2e-05,5.4e-05,0.0,0.000278,0.000204,0.000188,0.0013,0.0,0.0,4.5e-05,0.0064,4e-06,2.5e-05,1e-06,5e-05
2021-01-01 15:00:00,0.000245,0.000261,0.000162,8.999999999999999e-06,0.0001,0.000356,0.000102,0.000174,0.0,0.000267,0.000183,0.000146,0.0013,0.0,0.0,4e-05,0.0062,4e-06,1.4e-05,1e-06,7.3e-05
2021-01-01 16:00:00,0.000488,0.000255,0.000158,5.3e-05,4.1e-05,0.00047,4e-05,7.6e-05,0.0,0.000215,0.000152,0.000188,0.0012,0.0,0.0,3.8e-05,0.0059,1e-06,2.4e-05,2e-06,7.3e-05
2021-01-01 17:00:00,0.000449,0.000227,0.000132,7.3e-05,5.2e-05,0.000578,4.7e-05,1.3e-05,0.0,0.000303,4.3e-05,0.000162,0.0012,0.0,0.0001199999999999,2.9e-05,0.0058,4e-06,1.2e-05,1e-06,4.6e-05
2021-01-01 18:00:00,0.000139,0.00025,0.0001199999999999,2.3e-05,1.7e-05,0.000562,0.000133,1.7e-05,0.0,0.000541,0.000138,0.000164,0.0012,0.0,5.8e-05,2.6e-05,0.0058,3e-06,2.5e-05,9.1e-05,4.7e-05
