month,mean_demand,mean_network_loss,mean_nodal_payment,mean_lambda_q_g1
1,25.746999243461563,0.08934856582197209,1.1744524635416211,0.20498341965822084
2,24.40497933895358,0.08722010860418761,1.1364417111917522,0.20296283502581614
3,17.596103756425002,0.07696610889112875,1.098648578903328,0.20420990792950613
4,16.034546972839312,0.022243253093052865,0.09182977075652128,0.10923139215543502
5,14.356830787686054,0.022330070652662643,0.09661940827540672,0.10972239557596773
6,9.79766618529186,0.025315871101740536,0.09628941469404406,0.10985358241469238
7,8.316057555773043,0.027648369651003257,0.09736587082309967,0.11008656492941316
8,8.721449864692921,0.027351594704762124,0.10343650227216544,0.11138083928277934
9,10.030205841293895,0.02647794651140212,0.10554518868789543,0.11134714289783118
10,12.005599479664072,0.048525777401180255,0.5765682888193197,0.15333041308592857
11,14.57789642326769,0.046699545709329625,0.5410073226017942,0.14932786507555498
12,16.74732318929589,0.04076894034717015,0.44209784499428556,0.14201575457548934
