season,timestamp,scheme,p_demand_mw,q_demand_mvar,q_import_price,total_payment_eur_h,total_payment_eur_annualised,loss_mw,baseline_loss_mw
winter_peak,2021-01-28 21:00:00,1_capacity,44.742149999999995,7.646942689832981,3.4782608695652173,76.52173913043478,330573.9130434783,0.18102835010797946,0.06800050932960744
winter_peak,2021-01-28 21:00:00,2_variable,44.742149999999995,7.646942689832981,3.4782608695652173,1.975299950813295,8533.295787513434,0.18102835010797946,0.06800050932960744
winter_peak,2021-01-28 21:00:00,3_hybrid,44.742149999999995,7.646942689832981,3.4782608695652173,78.49703908124808,339107.2088309917,0.18102835010797946,0.06800050932960744
winter_median,2021-03-26 16:00:00,1_capacity,24.20913216485072,7.4678573809376605,3.4782608695652173,76.52173913043478,330573.9130434783,0.12130285753603687,0.027779166373299802
winter_median,2021-03-26 16:00:00,2_variable,24.20913216485072,7.4678573809376605,3.4782608695652173,1.721590640831694,7437.271568392918,0.12130285753603687,0.027779166373299802
winter_median,2021-03-26 16:00:00,3_hybrid,24.20913216485072,7.4678573809376605,3.4782608695652173,78.24332977126647,338011.18461187114,0.12130285753603687,0.027779166373299802
summer_peak,2021-05-04 18:00:00,1_capacity,28.438665371861582,4.802802673005428,0.43478260869565216,9.565217391304348,41321.739130434784,0.028008468990936564,0.026970343599085567
summer_peak,2021-05-04 18:00:00,2_variable,28.438665371861582,4.802802673005428,0.43478260869565216,0.14928937944791115,644.9301192149762,0.028008468990936564,0.026970343599085567
summer_peak,2021-05-04 18:00:00,3_hybrid,28.438665371861582,4.802802673005428,0.43478260869565216,9.714506770752259,41966.669249649756,0.028008468990936564,0.026970343599085567
summer_median,2021-06-14 19:00:00,1_capacity,12.929199459181953,5.084696214785337,0.43478260869565216,9.565217391304348,41321.739130434784,0.018388692434921694,0.018374239524858282
summer_median,2021-06-14 19:00:00,2_variable,12.929199459181953,5.084696214785337,0.43478260869565216,0.15530218363230225,670.9054332915457,0.018388692434921694,0.018374239524858282
summer_median,2021-06-14 19:00:00,3_hybrid,12.929199459181953,5.084696214785337,0.43478260869565216,9.720519574936649,41992.644563726324,0.018388692434921694,0.018374239524858282
