timestamp,corrected_total_service_cost_eur_h
2021-01-01 00:00:00,0.9690380314681464
2021-01-01 01:00:00,0.9789786978678494
2021-01-01 02:00:00,1.027595643927178
2021-01-01 03:00:00,0.9215473176781387
2021-01-01 04:00:00,0.8373086363599028
2021-01-01 05:00:00,0.8438511886890784
2021-01-01 06:00:00,0.8363452914334617
2021-01-01 07:00:00,0.8534696691671457
2021-01-01 08:00:00,0.8254413150936433
2021-01-01 09:00:00,0.8967274097552346
2021-01-01 10:00:00,0.9554924519069705
2021-01-01 11:00:00,0.899517921214706
2021-01-01 12:00:00,1.0709253667556482
2021-01-01 13:00:00,1.031597640768763
2021-01-01 14:00:00,0.960018366751625
2021-01-01 15:00:00,0.9558475175939702
2021-01-01 16:00:00,1.004802888892212
2021-01-01 17:00:00,1.0858466603159085
2021-01-01 18:00:00,0.9619188228176173
2021-01-01 19:00:00,0.9966193340828646
2021-01-01 20:00:00,0.9343924990825876
2021-01-01 21:00:00,0.8757148602528985
2021-01-01 22:00:00,0.945922764024679
2021-01-01 23:00:00,0.9427967951608305
2021-01-02 00:00:00,0.9291524278279446
2021-01-02 01:00:00,0.9441132796535783
2021-01-02 02:00:00,0.9283506056143747
2021-01-02 03:00:00,0.9067058026147766
2021-01-02 04:00:00,0.8828419202908945
2021-01-02 05:00:00,0.8697993088573428
2021-01-02 06:00:00,0.8806206914532664
2021-01-02 07:00:00,0.885285631122051
2021-01-02 08:00:00,0.8819769369858699
2021-01-02 09:00:00,0.9271934608726816
2021-01-02 10:00:00,0.9141051776990033
2021-01-02 11:00:00,1.0190036841302281
2021-01-02 12:00:00,1.022424187533498
2021-01-02 13:00:00,0.9967203438948737
2021-01-02 14:00:00,1.0451542879761615
2021-01-02 15:00:00,1.0702951905476052
2021-01-02 16:00:00,1.0162939968728628
2021-01-02 17:00:00,0.9541667336721499
2021-01-02 18:00:00,1.0332666759617553
2021-01-02 19:00:00,1.0022820369734862
2021-01-02 20:00:00,0.9489529705207035
2021-01-02 21:00:00,0.9537682206143365
2021-01-02 22:00:00,0.8955444865403268
2021-01-02 23:00:00,0.8934725809048217
2021-01-03 00:00:00,0.9149320181705426
2021-01-03 01:00:00,0.9452906336847678
2021-01-03 02:00:00,0.89322608160786
2021-01-03 03:00:00,0.8511549072631069
2021-01-03 04:00:00,0.84469579037014
2021-01-03 05:00:00,0.8633719242728746
2021-01-03 06:00:00,0.8560497574852068
2021-01-03 07:00:00,0.8548432309372735
2021-01-03 08:00:00,0.8588397678655806
2021-01-03 09:00:00,0.8675845206766962
2021-01-03 10:00:00,0.9110828452670164
2021-01-03 11:00:00,0.936683644447672
2021-01-03 12:00:00,0.9963799106064363
2021-01-03 13:00:00,0.997309222378299
2021-01-03 14:00:00,1.0252503686834362
2021-01-03 15:00:00,1.0145790374021233
2021-01-03 16:00:00,1.041053817644145
2021-01-03 17:00:00,0.9708432914281455
2021-01-03 18:00:00,1.0043489749010588
2021-01-03 19:00:00,0.9894363143360924
2021-01-03 20:00:00,0.9952471918183775
2021-01-03 21:00:00,0.9351312770552542
2021-01-03 22:00:00,0.9738143353926683
2021-01-03 23:00:00,1.0109532767915794
2021-01-04 00:00:00,0.9830606157147939
2021-01-04 01:00:00,0.9785708128855706
2021-01-04 02:00:00,0.9863335500704737
2021-01-04 03:00:00,0.9322925608493647
2021-01-04 04:00:00,0.9104090724675379
2021-01-04 05:00:00,0.9231017918223383
2021-01-04 06:00:00,0.9396365173385917
2021-01-04 07:00:00,0.9824075906263143
2021-01-04 08:00:00,0.9379913869685762
2021-01-04 09:00:00,0.8576162807010331
2021-01-04 10:00:00,0.9153623367738232
2021-01-04 11:00:00,0.9303263916600614
2021-01-04 12:00:00,1.0068695839605208
2021-01-04 13:00:00,0.9655775323613381
2021-01-04 14:00:00,1.0152453715814904
2021-01-04 15:00:00,0.9926351598687747
