timestamp,target,factor,truthful_p,truthful_q,truthful_lambda_q,truthful_true_profit,misreport_p,misreport_q,misreport_lambda_q,misreport_true_profit,profit_gain_from_lying
2021-01-10 00:00:00,G1,1.5,1.1999999977058344,2.1107966314453104,0.2040163036148661,0.043678200134081635,1.1999999995269894,2.0262892222893454,0.2992929137549606,0.23652609484078368,0.19284789470670205
2021-01-10 00:00:00,G1,2.0,1.1999999977058344,2.1107966314453104,0.2040163036148661,0.043678200134081635,1.2000000002681055,1.8073592843354347,0.37576126714926006,0.35158469716434126,0.30790649703025963
2021-01-10 00:00:00,G1,3.0,1.1999999977058344,2.1107966314453104,0.2040163036148661,0.043678200134081635,1.2000000018057333,1.4396834754596026,0.5047419439797765,0.4646006642670386,0.420922464132957
2021-01-10 06:00:00,G1,1.5,1.1999999958926604,2.1346777483686115,0.20530067242882932,0.046404577576538486,1.1999999968683108,2.0152973585650105,0.2984409650979739,0.23370212287161962,0.18729754529508114
2021-01-10 06:00:00,G1,2.0,1.1999999958926604,2.1346777483686115,0.20530067242882932,0.046404577576538486,1.1999999972939608,1.7969295687725368,0.37467861956084836,0.34767443140513876,0.3012698538286003
2021-01-10 06:00:00,G1,3.0,1.1999999958926604,2.1346777483686115,0.20530067242882932,0.046404577576538486,1.19999999813694,1.430226957480823,0.5032578884965354,0.4592979145256777,0.4128933369491392
2021-01-10 12:00:00,G1,1.5,1.20000009526032,2.3422410965821165,0.21647380322220452,0.07141054461831686,1.2000002982575586,2.0899190417202793,0.3046183017363128,0.25384814860058214,0.18243760398226527
2021-01-10 12:00:00,G1,2.0,1.20000009526032,2.3422410965821165,0.21647380322220452,0.07141054461831686,1.2033641522880143,1.8672951228827104,0.38244901626203986,0.37521620437760816,0.3038056597592913
2021-01-10 12:00:00,G1,3.0,1.20000009526032,2.3422410965821165,0.21647380322220452,0.07141054461831686,1.2180651844673045,1.4922525750721174,0.5135335373767486,0.4953522289671639,0.42394168434884705
2021-01-10 18:00:00,G1,1.5,1.2419798751687317,2.0806950660765375,0.20239738806761148,0.040285364600364915,1.2710574512747257,2.0237708471808267,0.2990453847528216,0.23578297195365394,0.19549760735328903
2021-01-10 18:00:00,G1,2.0,1.2419798751687317,2.0806950660765375,0.20239738806761148,0.040285364600364915,1.2794418579685511,1.8042960150335339,0.3753734445364439,0.3503126396091574,0.31002727500879246
2021-01-10 18:00:00,G1,3.0,1.2419798751687317,2.0806950660765375,0.20239738806761148,0.040285364600364915,1.2938767904298059,1.4357514703542564,0.5040253789188432,0.46224144397625366,0.42195607937588875
2021-01-11 00:00:00,G1,1.5,1.2755706524859576,1.9383826988630175,0.1947435766566527,0.02490473299081941,1.307730214733145,1.9207104367960144,0.29068969677209433,0.20918104899779166,0.18427631600697225
2021-01-11 00:00:00,G1,2.0,1.2755706524859576,1.9383826988630175,0.1947435766566527,0.02490473299081941,1.3230439408671644,1.7661836224794942,0.37113759000405755,0.3356444561631946,0.3107397231723752
2021-01-11 00:00:00,G1,3.0,1.2755706524859576,1.9383826988630175,0.1947435766566527,0.02490473299081941,1.337423208509581,1.4015967960140896,0.49833267302228645,0.4427383316352689,0.41783359864444947
2021-01-11 06:00:00,G1,1.5,1.2000000052251312,2.1877982072269826,0.20815758488282166,0.052579045269013136,1.2000000107349256,2.063901007951103,0.30236953670080163,0.24658075867515095,0.1940017134061378
2021-01-11 06:00:00,G1,2.0,1.2000000052251312,2.1877982072269826,0.20815758488282166,0.052579045269013136,1.2000000138871723,1.8430333922031767,0.37965681462000406,0.3654285117560505,0.3128494664870374
2021-01-11 06:00:00,G1,3.0,1.2000000052251312,2.1877982072269826,0.20815758488282166,0.052579045269013136,1.2000000220738665,1.4720336556021991,0.5100497371951612,0.4832761239904926,0.43069707872147944
2021-01-11 12:00:00,G1,1.5,1.4822786145675466,2.423938551434689,0.22085763129406769,0.08186368072193773,1.5045891249406167,2.2781730636053545,0.31967974229256435,0.3063734698488929,0.22450978912695518
2021-01-11 12:00:00,G1,2.0,1.4822786145675466,2.423938551434689,0.22085763129406769,0.08186368072193773,1.513586216626772,2.043923765078347,0.40133652609293347,0.44678319843934844,0.3649195177174107
2021-01-11 12:00:00,G1,3.0,1.4822786145675466,2.423938551434689,0.22085763129406769,0.08186368072193773,1.529103137799999,1.6505076595020938,0.5390280968867631,0.5909322624663389,0.5090685817444012
2021-01-11 18:00:00,G1,1.5,1.360521951184823,1.7582330787832319,0.18505481075023641,0.006996910567352188,1.35456425127614,1.68478797643391,0.27172208770472495,0.1528677310358404,0.1458708204684882
2021-01-11 18:00:00,G1,2.0,1.360521951184823,1.7582330787832319,0.18505481075023641,0.006996910567352188,1.329423274926565,1.557302187464185,0.3487242354569561,0.2608086763481481,0.2538117657807959
2021-01-11 18:00:00,G1,3.0,1.360521951184823,1.7582330787832319,0.18505481075023641,0.006996910567352188,1.2849873853720337,1.3294167315715713,0.48660649678619106,0.4030232916161509,0.3960263810487987
2021-01-12 00:00:00,G1,1.5,1.3179442582291496,1.9378378087966115,0.1947142715108311,0.024847936387715208,1.350084502366022,1.9201916971931552,0.29064784864457366,0.2090504212538491,0.1842024848661339
2021-01-12 00:00:00,G1,2.0,1.3179442582291496,1.9378378087966115,0.1947142715108311,0.024847936387715208,1.3698501299452592,1.8026476887108067,0.37501576948072923,0.3493690434689114,0.3245211070811962
2021-01-12 00:00:00,G1,3.0,1.3179442582291496,1.9378378087966115,0.1947142715108311,0.024847936387715208,1.3844415121253342,1.4342773951343335,0.5035703534344322,0.4610744644527074,0.4362265280649922
2021-01-12 06:00:00,G1,1.5,1.2000000193198659,1.9969284330488535,0.19789227001995197,0.03110027700313367,1.2000000851108363,1.9969281529766914,0.29683838274351165,0.2286885550830533,0.19758827807991963
