timestamp,month,q_import_price,p_demand_mw,q_demand_mvar,0_baseline_loss_mw,coordinated_loss_mw,0_baseline_vmin,0_baseline_vmax,coordinated_vmin,coordinated_vmax,0_baseline_max_line_loading_pct,coordinated_max_line_loading_pct,0_baseline_total_payment_eur_h,0_baseline_total_revenue_p_eur_h,0_baseline_total_profit_eur_h,1_capacity_total_payment_eur_h,1_capacity_total_revenue_p_eur_h,1_capacity_total_profit_eur_h,1_capacity_load_charge_eur_h,1_capacity_net_surplus_eur_h,1_capacity_recovery_ratio,2a_variable_nodal_total_payment_eur_h,2a_variable_nodal_total_revenue_p_eur_h,2a_variable_nodal_total_profit_eur_h,2a_variable_nodal_load_charge_eur_h,2a_variable_nodal_net_surplus_eur_h,2a_variable_nodal_recovery_ratio,3_hybrid_total_payment_eur_h,3_hybrid_total_revenue_p_eur_h,3_hybrid_total_profit_eur_h,3_hybrid_load_charge_eur_h,3_hybrid_net_surplus_eur_h,3_hybrid_recovery_ratio,p_g1_mw,q_g1_mvar,v_g1,lambda_q_g1,g1_field_binding,g1_stator_binding,g1_underexcited_binding,p_g2_mw,q_g2_mvar,v_g2,lambda_q_g2,g2_field_binding,g2_stator_binding,g2_underexcited_binding,p_g3_mw,q_g3_mvar,v_g3,lambda_q_g3,g3_field_binding,g3_stator_binding,g3_underexcited_binding,p_g4_mw,q_g4_mvar,v_g4,lambda_q_g4,g4_field_binding,g4_stator_binding,g4_underexcited_binding
2021-01-01 00:00:00,1,3.4782608695652173,21.85412474246399,5.03966992296796,0.021894799208176607,0.08748964440449214,1.0144064039945078,1.03,1.0226769431954918,1.0500000104480869,15.717306546800128,39.0489098289801,0.0,230.99999775378828,-0.2546665304517717,0.05459598967639468,230.9999978597727,-1.0022412257750624,14.867112479433475,14.81251648975708,0.003672265865474579,1.228753182848206,230.9999978597727,0.17191596739674964,14.867112479433475,13.63835929658527,0.08264908095287571,1.2833491725246005,230.9999978597727,0.22651195707314287,14.867112479433475,13.583763306908875,0.08632134681835027,1.1999999929942133,2.2135595681714544,1.0500000103292861,0.20954307654844848,False,False,False,0.7499999933759729,-0.2036439950425138,1.0500000104480869,0.09486991758244835,False,False,False,0.8999999917883901,2.7744616283763834,1.0500000090177206,0.2894478731799143,False,False,False,0.44999999126674795,-0.2551278025115575,1.0499975724873376,0.07378744116225854,False,False,False
2021-01-01 01:00:00,1,3.4782608695652173,20.803678611003065,5.292451068255202,0.02183754011960204,0.0868476554412787,1.0145246580111402,1.03,1.0227959788674308,1.050000010451651,16.609208857325793,39.603814392005376,0.0,230.9999976992482,-0.2503330928398171,0.05459598967639468,230.99999769622,-1.0121582842637515,15.481510567851593,15.426914578175198,0.003526528592743847,1.247907247046151,230.99999769622,0.18115297310599487,15.481510567851593,14.233603320805443,0.08060629753000427,1.3025032367225455,230.99999769622,0.23574896278240587,15.481510567851593,14.179007331129048,0.08413282612274811,1.199999991524706,2.217445705522881,1.0500000103269755,0.2097520799053801,False,False,False,0.7499999925302252,-0.2507669446090406,1.050000010451651,0.09038621475986165,False,False,False,0.8999999917821001,2.8157609904930774,1.0497355348788096,0.2925111658919234,False,False,False,0.4499999912518256,-0.2373403542384526,1.0499975724869262,0.07660836740084662,False,False,False
2021-01-01 02:00:00,1,3.4782608695652173,22.389981491271744,5.940798512616865,0.024477729996213782,0.09792757313681477,1.0142636853886342,1.03,1.0225358267312843,1.0500000104490717,17.727454970592447,43.05927065109084,0.0,230.9999977020736,-0.25134689823936895,0.05459598967639468,230.99999778675877,-1.0607280910012946,17.86081077526478,17.806214785588388,0.003056747555491938,1.3184294186113648,230.99999778675877,0.2031053379336818,17.86081077526478,16.542381356653415,0.073816885201944,1.3730254082877595,230.99999778675877,0.257701327610075,17.86081077526478,16.487785366977022,0.07687363275743594,1.199999992111011,2.1975729056259823,1.050000010328965,0.2086832854944156,False,False,False,0.7499999929227552,-0.2142329883628973,1.0500000104490717,0.09386238525573828,False,False,False,0.899999991975446,2.9504363601684123,1.0492070720632947,0.30238676364235945,False,False,False,0.44999999137305613,-0.13082053784866277,1.049997572483311,0.09350059742291536,False,False,False
2021-01-01 03:00:00,1,3.4782608695652173,20.153381904107697,5.0027282094321555,0.022233064789368484,0.08171960230712827,1.014700914445845,1.03,1.0229719731372031,1.0500000104514202,17.36929193671033,38.13427766514809,0.0,230.99999765358024,-0.2384301133378699,0.05459598967639468,230.99999761952674,-0.9547193418128437,14.583149388456773,14.528553398780378,0.0037437722279393157,1.1611939473219897,230.99999761952674,0.1518786158327572,14.583149388456773,13.421955441134784,0.07962573216462608,1.2157899369983844,230.99999761952674,0.20647460550915042,14.583149388456773,13.36735945145839,0.08336950439256541,1.1999999909764045,2.0839180763529046,1.0500000103807388,0.2025707272684522,False,False,False,0.7499999922499389,-0.2418812492666096,1.0500000104514202,0.09123168011944109,False,False,False,0.8999999916272573,2.7169688238235685,1.0496507899495224,0.2854547821739224,False,False,False,0.44999999113963846,-0.2670141833046091,1.0499975724887307,0.05412208374758394,False,False,True
2021-01-01 04:00:00,1,3.4782608695652173,18.95348426722677,4.2073641639331525,0.020029388653444613,0.07112505838222205,1.0163844446427734,1.0313058601714675,1.024634263264369,1.0500000104455396,17.48802322002032,35.569892645173205,0.0,230.99999765451525,-0.23329296849030712,0.05459598967639468,230.99999761135243,-0.8704771494564589,11.9072800894973,11.852684099820905,0.0045850932594212294,1.0421617597685817,230.99999761135243,0.11708862063573378,11.9072800894973,10.865118329728718,0.08752307428191013,1.0967577494449763,230.99999761135243,0.1716846103121341,11.9072800894973,10.810522340052325,0.09210816754133135,1.1999999910274424,2.0015605220916357,1.0500000104135894,0.19814139198310668,False,False,False,0.7499999923255928,-0.22041226807386474,1.0500000104455396,0.09327443283215968,False,False,False,0.8999999914782405,2.4646778029531347,1.0496114400151277,0.26736445831062955,False,False,False,0.4499999910451875,-0.26701429883715755,1.049997572491221,-0.026820119413608297,False,False,True
2021-01-01 05:00:00,1,3.4782608695652173,18.699510901990916,4.401685134009685,0.020128216866901028,0.07235020679053505,1.0155417245940002,1.0312972217934562,1.0238016596227377,1.0500000104519187,17.45344583291244,36.47060337744964,0.0,230.99999766077605,-0.23406209605328598,0.05459598967639468,230.9999975892833,-0.8770204618972741,12.685524401926077,12.630928412249682,0.0043038023456172785,1.0552106030129043,230.9999975892833,0.12359415143924224,12.685524401926077,11.630313798913173,0.08318226110169231,1.1098065926892988,230.9999975892833,0.1781901411156248,12.685524401926077,11.575717809236778,0.0874860634473096,1.1999999908465304,2.051932726488734,1.050000010388579,0.20085049844485417,False,False,False,0.7499999921672722,-0.26164199788446785,1.0500000104519187,0.08935146383325632,False,False,False,0.8999999914938717,2.4656564332052353,1.049619959073823,0.26743181470023886,False,False,False,0.44999999105351607,-0.2670142987460794,1.0499975724912125,-0.026448071535261485,False,False,True
2021-01-01 06:00:00,1,3.4782608695652173,18.644723855064747,4.420239513847156,0.02069459976533139,0.07193646285266198,1.0151644321083744,1.031497346473119,1.0234303615922764,1.0500000104529463,17.468258137563396,36.56427717973949,0.0,230.99999764020157,-0.23288398014015144,0.05459598967639468,230.99999756661663,-0.8695149037780929,12.731542365890503,12.676946376214108,0.0042882463182673455,1.0455654664978968,230.99999756661663,0.12145457304341178,12.731542365890503,11.685976899392607,0.08212402209013622,1.1001614561742914,230.99999756661663,0.17605056271980501,12.731542365890503,11.631380909716212,0.08641226840840356,1.1999999906877992,2.0497209542327455,1.0500000103883564,0.20073154541176064,False,False,False,0.7499999920609004,-0.2733039052005572,1.0500000104529463,0.088241844389006,False,False,False,0.8999999914563634,2.4430596494347023,1.0496237598675502,0.26580897790479485,False,False,False,0.4499999910323172,-0.2670143003589211,1.0499975724914334,-0.03314977503797168,False,False,True
2021-01-01 07:00:00,1,3.4782608695652173,19.64269107518903,4.536366680752907,0.02084033776453964,0.07482760921692133,1.0148661707599853,1.0313363552609331,1.0231325071765973,1.0500000104485339,17.45769921665703,37.73748684184642,0.0,230.9999976727343,-0.24053755952224876,0.05459598967639468,230.9999976409048,-0.8866418068015989,13.205054120314353,13.150458130637958,0.004134476782825559,1.0672998386959984,230.9999976409048,0.12606204221801676,13.205054120314353,12.137754281618355,0.08082510143249537,1.1218958283723932,230.9999976409048,0.18065803189439578,13.205054120314353,12.08315829194196,0.08495957821532094,1.1999999912858308,2.0915318318512046,1.0500000103774747,0.20298020853812812,False,False,False,0.7499999924754525,-0.23016230176288532,1.0500000104485339,0.09234672662377252,False,False,False,0.8999999914890965,2.4610751722110944,1.0496520620781058,0.2670922561551439,False,False,False,0.44999999104826044,-0.26701429836773627,1.0499975724913513,-0.025020705596191357,False,False,True
2021-01-01 08:00:00,1,3.4782608695652173,18.33241349646183,4.08923616778947,0.02004917056564537,0.06942966494509761,1.0167277293263883,1.0311483372295889,1.0249757127197743,1.0500000104497962,17.504473308467666,35.2253100383088,0.0,230.9999976348418,-0.224211685957993,0.05459598967639468,230.99999756424802,-0.8586106988643714,11.53472815258361,11.480132162907214,0.004733183908124093,1.0253508975421521,230.99999756424802,0.11214420900139288,11.53472815258361,10.509377255041457,0.08889250652279036,1.079946887218547,230.99999756424802,0.166740198677779,11.53472815258361,10.454781265365062,0.09362569043091447,1.1999999906366274,1.9342535953985884,1.0500000104215226,0.19452150613622424,False,False,False,0.7499999920569537,-0.25747570558431865,1.0500000104497962,0.08974788257456087,False,False,False,0.8999999914692755,2.482374796482911,1.0496211980419368,0.26863112012018125,False,False,False,0.44999999104068666,-0.26701429697462753,1.049997572491114,-0.020080393558827382,False,False,True
2021-01-01 09:00:00,1,3.4782608695652173,19.339964421867315,4.804748802760921,0.020590400484973514,0.07814486460129189,1.0149580516533672,1.0301921904559959,1.0232227134901264,1.0500000104488552,17.429609530365795,37.88247626997652,0.0,230.99999765592452,-0.24482354237244053,0.05459598967639468,230.9999976868728,-0.9299012496499799,13.92701088165743,13.872414891981036,0.003920151290202575,1.1264087906517914,230.9999976868728,0.14191155132541056,13.92701088165743,12.80060209100564,0.08087943638611844,1.181004780328186,230.9999976868728,0.1965075410018109,13.92701088165743,12.746006101329245,0.08479958767632101,1.1999999916715318,2.126426690592369,1.0500000103677154,0.20485691590771882,False,False,False,0.74999999268424,-0.21831686194533695,1.0500000104488552,0.09347380867871005,False,False,False,0.8999999915245547,2.5900675435448917,1.0496711393424465,0.2763415520768996,False,False,False,0.44999999107499905,-0.2670142785905888,1.0499975724902122,0.017005830149495388,False,False,True
