timestamp,bus,hops_to_gen,lambda_q,v,is_gen_bus
2021-01-15 18:00:00,0,2,3.1975757721620437,1.03,False
2021-01-15 18:00:00,1,2,2.946392966705151,1.029476313836204,False
2021-01-15 18:00:00,2,1,1.8440015357205408,1.0376670645477026,False
2021-01-15 18:00:00,3,0,0.20717973378330606,1.0500000104142382,True
2021-01-15 18:00:00,4,1,0.2354735392674441,1.0488890220360207,False
2021-01-15 18:00:00,5,2,0.2374821885680696,1.0483224052929,False
2021-01-15 18:00:00,6,3,0.23235111871843075,1.04778707459076,False
2021-01-15 18:00:00,7,2,0.16470210763996893,1.0494384449007947,False
2021-01-15 18:00:00,8,1,0.16902777632798727,1.0494669602269133,False
2021-01-15 18:00:00,9,1,0.1596581409327132,1.0494675837603025,False
2021-01-15 18:00:00,10,0,0.1139475063452171,1.050000010423661,True
2021-01-15 18:00:00,11,1,0.1133217088253778,1.0499913472257694,False
2021-01-15 18:00:00,12,1,2.778605561970793,1.0325599841457687,False
2021-01-15 18:00:00,13,0,0.2853720295433646,1.049759148085566,True
2021-01-15 18:00:00,14,0,0.09616016040439568,1.0499975724797992,True
2021-01-25 12:00:00,0,2,3.4782608695193566,1.03,False
2021-01-25 12:00:00,1,2,3.4530574493989517,1.019596578661216,False
2021-01-25 12:00:00,2,1,2.1510101726305058,1.031593931828969,False
2021-01-25 12:00:00,3,0,0.22655610564341805,1.0499361159002552,True
2021-01-25 12:00:00,4,1,0.22260247992323973,1.0494533281444065,False
2021-01-25 12:00:00,5,2,0.21981626356957124,1.049058262985031,False
2021-01-25 12:00:00,6,3,0.2146794180550482,1.048569488367418,False
2021-01-25 12:00:00,7,2,0.18364354581233208,1.0494465051041555,False
2021-01-25 12:00:00,8,1,0.18796940788861016,1.0494353115387056,False
2021-01-25 12:00:00,9,1,0.1794861963001815,1.0493741934147718,False
2021-01-25 12:00:00,10,0,0.12243263426869032,1.0500000104256717,True
2021-01-25 12:00:00,11,1,0.12181465671896773,1.0499909367588778,False
2021-01-25 12:00:00,12,1,2.836457944557817,1.0324271579993278,False
2021-01-25 12:00:00,13,0,0.2853593885665495,1.049719570823642,True
2021-01-25 12:00:00,14,0,0.051243338255981236,1.0499975724885706,True
2021-06-15 18:00:00,0,2,3.4782608322024657,1.03,False
2021-06-15 18:00:00,1,2,2.9274689578797988,1.0282319509409514,False
2021-06-15 18:00:00,2,1,1.8194996000053443,1.0369285386720863,False
2021-06-15 18:00:00,3,0,0.16544481209794903,1.0500000104624951,True
2021-06-15 18:00:00,4,1,0.16311954270001713,1.0495930130394857,False
2021-06-15 18:00:00,5,2,0.1619903276464649,1.0492787736603786,False
2021-06-15 18:00:00,6,3,0.15704304961552953,1.0486777849542392,False
2021-06-15 18:00:00,7,2,0.11454676176441349,1.049881930383122,False
2021-06-15 18:00:00,8,1,0.11811470014714211,1.049872018803575,False
2021-06-15 18:00:00,9,1,0.10609776485376207,1.049893835100484,False
2021-06-15 18:00:00,10,0,0.07476523387439873,1.049994263422979,True
2021-06-15 18:00:00,11,1,0.04092019654027729,1.0499957240508073,False
2021-06-15 18:00:00,12,1,2.8279946063676986,1.0312732652311967,False
2021-06-15 18:00:00,13,0,0.2853898334450376,1.049275182636034,True
2021-06-15 18:00:00,14,0,0.04827292593847608,1.0499975724890276,True
