scheme,bus,generator,p_mw,q_mvar,payment,revenue_p,service_cost,loc,profit,load_charge_total_eur_h,net_surplus_eur_h,recovery_ratio
0_baseline,3,G1,6.163176842985208,-0.13732228896739584,0.0,431.4223790089645,0.05995534352817102,0.0,431.3624236654364,,,
0_baseline,10,G2,3.0875627447981935,0.0,0.0,216.12939213587353,0.0649811465415062,0.0,216.06441098933203,,,
0_baseline,13,G3,5.1000000128928225,0.0,0.0,357.00000090249756,0.05632251951495151,0.0,356.9436783829826,,,
0_baseline,14,G4,2.5265988187753057,0.0,0.0,176.8619173142714,0.0411036002700646,0.0,176.82081371400133,,,
1_capacity,3,G1,6.800000031023978,1.6821601917706581,0.01985308715505261,476.00000217167843,0.3044505451729428,0.0,475.7154047136606,25.659369797303267,25.604773807626874,0.0021277213784935815
1_capacity,10,G2,2.801324447760074,-0.2862567217073012,0.012408179471907883,196.0927113432052,0.03978307586255312,0.0,196.06533644681457,25.659369797303267,25.604773807626874,0.0021277213784935815
1_capacity,13,G3,5.100000050959965,1.9266394557864819,0.014889815366289458,357.00000356719755,0.36494902013684993,0.0,356.649944362427,25.659369797303267,25.604773807626874,0.0021277213784935815
1_capacity,14,G4,2.5500000254584063,-1.446007845557626,0.007444907683144729,178.50000178208845,0.04174464664996883,0.0,178.46570204312164,25.659369797303267,25.604773807626874,0.0021277213784935815
2a_variable_nodal,3,G1,6.800000031023978,1.6821601917706581,0.3044095580463707,476.00000217167843,0.3044505451729428,0.0,475.99996118455186,25.659369797303267,24.771522521661268,0.0346012892232182
2a_variable_nodal,10,G2,2.801324447760074,-0.2862567217073012,-0.024907028467608387,196.0927113432052,0.03978307586255312,0.0,196.02802123887506,25.659369797303267,24.771522521661268,0.0346012892232182
2a_variable_nodal,13,G3,5.100000050959965,1.9266394557864819,0.4419599319654206,357.00000356719755,0.36494902013684993,0.0,357.0770144790261,25.659369797303267,24.771522521661268,0.0346012892232182
2a_variable_nodal,14,G4,2.5500000254584063,-1.446007845557626,0.16638481409781714,178.50000178208845,0.04174464664996883,0.0,178.6246419495363,25.659369797303267,24.771522521661268,0.0346012892232182
2b_variable_uniform,3,G1,6.800000031023978,1.6821601917706581,0.16077336443590703,476.00000217167843,0.3044505451729428,0.0,475.8563249909414,25.659369797303267,25.48001894842661,0.006989682532869693
2b_variable_uniform,10,G2,2.801324447760074,-0.2862567217073012,-0.027359140031028958,196.0927113432052,0.03978307586255312,0.0,196.02556912731163,25.659369797303267,25.48001894842661,0.006989682532869693
2b_variable_uniform,13,G3,5.100000050959965,1.9266394557864819,0.18413960149402261,357.00000356719755,0.36494902013684993,0.0,356.8191941485547,25.659369797303267,25.48001894842661,0.006989682532869693
2b_variable_uniform,14,G4,2.5500000254584063,-1.446007845557626,-0.13820297702224588,178.50000178208845,0.04174464664996883,0.0,178.32005415841624,25.659369797303267,25.48001894842661,0.006989682532869693
2c_variable_awu,3,G1,6.800000031023978,1.6821601917706581,0.22538666193867174,476.00000217167843,0.3044505451729428,0.0,475.9209382884442,25.659369797303267,25.444862526782163,0.008359802762718176
2c_variable_awu,10,G2,2.801324447760074,-0.2862567217073012,-0.038354520145434653,196.0927113432052,0.03978307586255312,0.0,196.0145737471972,25.659369797303267,25.444862526782163,0.008359802762718176
2c_variable_awu,13,G3,5.100000050959965,1.9266394557864819,0.11013563388956941,357.00000356719755,0.36494902013684993,0.0,356.74519018095026,25.659369797303267,25.444862526782163,0.008359802762718176
2c_variable_awu,14,G4,2.5500000254584063,-1.446007845557626,-0.08266050516170331,178.50000178208845,0.04174464664996883,0.0,178.3755966302768,25.659369797303267,25.444862526782163,0.008359802762718176
3_hybrid,3,G1,6.800000031023978,1.6821601917706581,0.32426264520142334,476.00000217167843,0.3044505451729428,0.0,476.01981427170693,25.659369797303267,24.71692653198487,0.03672901060171178
3_hybrid,10,G2,2.801324447760074,-0.2862567217073012,-0.012498848995700505,196.0927113432052,0.03978307586255312,0.0,196.04042941834695,25.659369797303267,24.71692653198487,0.03672901060171178
3_hybrid,13,G3,5.100000050959965,1.9266394557864819,0.4568497473317101,357.00000356719755,0.36494902013684993,0.0,357.0919042943924,25.659369797303267,24.71692653198487,0.03672901060171178
3_hybrid,14,G4,2.5500000254584063,-1.446007845557626,0.17382972178096187,178.50000178208845,0.04174464664996883,0.0,178.63208685721946,25.659369797303267,24.71692653198487,0.03672901060171178
