timestamp,objective_eur_h,losses_mw,max_line_loading_pct,vmin,vmax,p_g1,q_g1,p_g2,q_g2,p_g3,q_g3,p_g4,q_g4
2021-01-10 00:00:00,1616.1620197377858,0.08085734007291379,36.823139685547254,1.026109157972167,1.0500000104468168,1.1999999977058344,2.1107966314453104,0.7499999950774358,-0.23121678562695966,0.8999999916310236,2.5982732927000383,0.44999999113157124,-0.26701427926155974
2021-01-10 01:00:00,1638.2377081370641,0.07922367131044084,37.261471193508946,1.0254829979406028,1.050000010446656,1.199999998182212,2.088242081030497,0.7499999950768613,-0.2497736905431242,0.8999999915147102,2.483731042591981,0.4499999910628604,-0.2670142960562058
2021-01-10 02:00:00,1673.3530557441402,0.08029657153590719,36.92664487046692,1.0259234592423179,1.050000010441092,1.1999999936892791,1.945834136338332,0.7499999937731677,-0.22280616743588877,0.899999991610133,2.6274757426861552,0.44999999112108796,-0.26701426759134367
2021-01-10 03:00:00,1571.143557304431,0.07337774938281072,37.188434273816846,1.0241803055653156,1.0500000104478493,1.1999999927620582,2.059329962090729,0.7499999931970722,-0.26015278191417196,0.8999999914156389,2.3026337071645706,0.449999991002379,-0.26701430711389695
2021-01-10 04:00:00,1539.8691039955913,0.07556688439024128,38.05480727944243,1.0239235424549253,1.0500000104459586,1.1999999938831607,2.1016039529251946,0.7499999937469597,-0.23786144958884878,0.8999999914205545,2.353208884168877,0.4499999910079841,-0.2670143050383352
2021-01-10 05:00:00,1550.6281215908766,0.07456549721302252,38.22368849390802,1.0247280161830783,1.0500000104395013,1.1999999970225832,2.0956644666776123,0.7499999951693186,-0.18890632609892669,0.8999999914186644,2.3055231486601193,0.4499999910040125,-0.26701430696780576
2021-01-10 06:00:00,1499.7619242664114,0.07485780485189863,38.790410417500496,1.0241346949247734,1.0500000104429392,1.1999999958926604,2.1346777483686115,0.7499999946334078,-0.2060916713880806,0.8999999914131628,2.308426746574515,0.44999999100121496,-0.26701430687344163
2021-01-10 07:00:00,1636.364397311042,0.07794871800731329,38.54127856835289,1.024228039143644,1.050000010444135,1.1999999969060111,2.1218036159956157,0.7499999948944659,-0.21954732598212304,0.8999999914523246,2.3559358460275233,0.44999999102412713,-0.2670143048679506
2021-01-10 08:00:00,1617.6396406788322,0.0793179058982858,37.74513712582837,1.0247170276396715,1.050000010441447,1.1999999963654537,2.068690029907575,0.7499999948345764,-0.2054830402307499,0.8999999914916219,2.4677615379641322,0.4499999910519478,-0.2670142981565725
2021-01-10 09:00:00,1686.2193783195196,0.08319604565965122,37.15738141420749,1.025156352401069,1.0500000104403964,1.199999994854697,2.0130322333326354,0.7499999943063926,-0.2071216862792835,0.8999999916379445,2.652097795460798,0.44999999113566636,-0.2670142530829631
