timestamp,n_optimal,rel_spread
2021-01-25 12:00:00,5,6.161704864443094e-14
2021-01-07 06:00:00,5,5.762839745087332e-14
2021-01-17 20:00:00,5,9.691675405573827e-14
2021-06-26 14:00:00,5,2.2663932150599897e-12
2021-06-06 19:00:00,5,1.5029265803280626e-13
2021-06-09 02:00:00,5,2.460900989247528e-13
2021-07-09 11:00:00,5,1.508594653155205e-13
2021-07-02 06:00:00,5,1.3615326586297318e-13
2021-07-31 01:00:00,5,2.4902806342192596e-13
2021-12-15 10:00:00,5,7.859997660738788e-14
2021-12-15 18:00:00,5,2.502096686828599e-12
2021-12-02 07:00:00,5,5.2093265725827645e-14
