config,point,timestamp,n_generators,coord_status,base_status,coord_loss_mw,base_loss_mw,coord_vmin,coord_vmax,coord_max_line_loading_pct
"2-gen (G1,G2)",winter_peak,2021-01-28 21:00:00,2,optimal,optimal,0.2533610874240324,0.25558191321201207,1.0182857245248271,1.0500000104978846,100.0000004991898
"2-gen (G1,G2)",winter_median,2021-03-26 16:00:00,2,optimal,optimal,0.23339265441278023,0.23566322597604383,1.0162195473530815,1.0500000104976952,100.0000004991938
"2-gen (G1,G2)",summer_peak,2021-05-04 18:00:00,2,optimal,optimal,0.23848175137954541,0.24108317982014427,1.0157301762466446,1.0500000104972151,100.00000049921533
"2-gen (G1,G2)",summer_median,2021-06-14 19:00:00,2,optimal,optimal,0.23198587279569072,0.2313398530954789,1.0169079196636253,1.0500000104977358,100.0000004992045
"3-gen (G1,G2,G3)",winter_peak,2021-01-28 21:00:00,3,optimal,optimal,0.3829596707765148,0.37344375654289763,1.0182857245248271,1.0500000104978846,100.0000004991898
"3-gen (G1,G2,G3)",winter_median,2021-03-26 16:00:00,3,optimal,optimal,0.37493031688175016,0.36601591404515865,1.0162195473530815,1.0500000104976952,100.00000049919373
"3-gen (G1,G2,G3)",summer_peak,2021-05-04 18:00:00,3,optimal,optimal,0.3766460420638076,0.3758737213146013,1.0157301762466446,1.0500000104972151,100.00000049921556
"3-gen (G1,G2,G3)",summer_median,2021-06-14 19:00:00,3,optimal,optimal,0.37479638413488026,0.3748684668718827,1.0196825132267906,1.0500000104977358,100.00000049920459
"3-gen (G1,G2,G4)",winter_peak,2021-01-28 21:00:00,3,optimal,optimal,0.30231571087524145,0.303447524173599,1.0182857245248271,1.0500000104978846,100.00000049918998
"3-gen (G1,G2,G4)",winter_median,2021-03-26 16:00:00,3,optimal,optimal,0.289792875416671,0.2914275817272465,1.0162195473530815,1.0500000104976952,100.00000049919355
"3-gen (G1,G2,G4)",summer_peak,2021-05-04 18:00:00,3,optimal,optimal,0.29250811688335077,0.2949464000348847,1.0157301762466444,1.0500000104972151,100.00000049921529
"3-gen (G1,G2,G4)",summer_median,2021-06-14 19:00:00,3,optimal,optimal,0.28853104846790867,0.28788131937913075,1.0201400540173644,1.0500000104977358,100.00000049920463
4-gen (all),winter_peak,2021-01-28 21:00:00,4,optimal,optimal,0.543373317772712,0.36543078887641656,1.0142127776808254,1.0500000104978846,100.00000049929969
4-gen (all),winter_median,2021-03-26 16:00:00,4,optimal,optimal,0.5311697074736426,0.3540694900034307,1.013431357616845,1.0500000104976952,100.00000049930402
4-gen (all),summer_peak,2021-05-04 18:00:00,4,optimal,optimal,0.5336731064883722,0.3652167086514595,1.0133597640901235,1.0500000104972151,100.00000049933607
4-gen (all),summer_median,2021-06-14 19:00:00,4,optimal,optimal,0.534328015155177,0.38985331572463444,1.0118953835668274,1.0500000104977358,100.00000049935124
